2021-05-21 22:29:03,388 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:29:03,388 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55721), raddr=('127.0.0.1', 7777)>, 'test2'),{}) = None 
2021-05-21 22:29:03,605 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55720), raddr=('127.0.0.1', 7777)>, 'test1'),{}) = None 
2021-05-21 22:32:19,084 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test1') 
2021-05-21 22:32:19,088 - DEBUG -  messenger.client - Log: make_presence_message(('test1', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625539.0880206, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}} 
2021-05-21 22:32:19,089 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=524, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55725), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625539.0880206, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:32:19,090 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test1 
2021-05-21 22:32:19,090 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:32:19,092 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:32:19,092 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:32:19,300 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:32:22,930 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test2') 
2021-05-21 22:32:22,934 - DEBUG -  messenger.client - Log: make_presence_message(('test2', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625542.9332745, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}} 
2021-05-21 22:32:22,935 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=524, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55726), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625542.9332745, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:32:22,936 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test2 
2021-05-21 22:32:22,936 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:32:22,937 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:32:22,938 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:32:23,152 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:32:27,565 - DEBUG -  messenger.client - Log: attach_to_group_message(('test2',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621625547.56539, 'group': "'ded'", 'from': 'test2'} 
2021-05-21 22:32:27,640 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:32:33,751 - DEBUG -  messenger.client - Log: attach_to_group_message(('test1',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621625553.751632, 'group': "'ded'", 'from': 'test1'} 
2021-05-21 22:32:33,788 - DEBUG -  messenger.client - Получен ответ сервера 200 
